comment,sentiment
"Peguei na promo da black friday e foi uma das melhores aquisições pro meu pc. Boa estrutura pra uma placa de entrada, achei o black plate bom e sem falar da entrega que foi antes do prazo. Placa bem fria, air flow do meu gabinete tambem ajuda, mas nao passa de 50° e arrasta diversos jogos no full.",neutral
otima placa,positive
"Simplesmente perfeito, Uma placa ótima, roda tudo que eu sempre quis, em relação a entrega entregaram 3 dias antes do previsto tudo embalado perfeitinho, muito obrigado Kabum",neutral
"placa muito fria e de tamanho razoavel, pouco gasto de energia e otimo desempenho, Quais são os pontos negativos deste produto?",neutral
"Pelo preço não tem como reclamar, mas compensa juntar mais um pouco e comprar uma 4060, o preço ta baixo",positive
Melhor Custo benefício,positive
"Tem um desempenho absurdo pelo seu preço, ótima para jogar no fullhd, Custo benefício Consumo de watts da fonte Temperatura não sobe muito",neutral
"Otima placa custo beneficio, ate agora n me deu dor de cabeça 3 meses de uso",positive
"Cumpre o que promete, - Resolução boa; - Desempenho bom, rodando jogos pesados; - Design do produto., - Nem vejo como ponto negativo sobre o produto, mas sobre o frete que escolhi que foi o Gollog, não recomendo.",neutral
"placa top, ñ passa dos 50 grsus , Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Placa perfeita, veio bem embalada sem nenhum defeito. Estou adorando , Rápida, supri minhas necessidades Não esquenta muito",positive
Ótima placa de video,positive
"Fria e econômica, Roda tudo com muita eficiência energética, Tamanho maior que o normal",positive
"Construção e desempenho excelentes., Fácil instalação de driver; Placa leve; Boa construção e o principal: Ótimo valor vs desempenho., Nenhum.",neutral
"Pedi no sábado de carnaval, na quarta já estava na minha casa, consegui acompanhar a entrega de boa pelo app. A placa veio muito bem embalada, e está 0 bala! Recomendo demais!!",positive
"a placa faz tudo que eu quero, rodo todos os jogos no ultra de boa, então recomendo.",neutral
"Ótima placa nada a reclamar , Muito parruda combinou bem com meu 2640, Nenhum",positive
"Gostei do visual, instalação e performance da placa. Apanhei um pouco pro software da Adrenaline mas é uma excelente GPU. Recomendo a compra",neutral
"Ótimo custo benefício, placa roda bem todos jogos de fps da atualidade.",neutral
"Placa me atende muito bem, placa fria nos teste, muito top, Placa bonita .",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Não esquenta muito, chega no maximo 64°., Uma fonte de 500w segura ela. Super custo benefício. Não esquenta muito., Nada.",positive
"É uma placa que cumpre o que promete, senti uma boa melhora em desempenho nos jogos com um menor consumo de energia que minha placa anterior. Não esperava que fosse tão grande, mais um pouco não cabia no meu gabinete.",neutral
"baixíssimo consumo elétrico ao mexer no desktop ou ao ver vídeos (por volta de 6W ou menos, medido usando CoreCtrl - linux) e completamente monstruosa em jogos. ela oferece muito mais do que preciso e é uma excelente relação custo-benefício.",neutral
Placa com bom custo benefício. Recomendo,positive
Pela Gollog o produto chegou extremamente rápido e a placa é um ótimo custo benefício.,positive
"Melhor custo benefício sem dúvidas, além de parruda ela muito fácil de instalar, sem dúvidas melhor compra que fiz esse ano., Montagem prática e intuitiva, muito fácil de montar, desempenho maravilhoso., Não tem nenhum até o momento",negative
"Placa roda liso qualquer jogo em 1080p no alto, Esse modelo tem um CUSTOxFPS que vale muito a pena, rodando qualquer jogo em 1080p no Alto, dependendo do jogo no Ultra., Só não gostei do design da placa, o backplate é muito pequeno comparado ao heatsink, porém é só isso mesmo",neutral
"Gostei muito. Ela é um pouco grande, mas dá conta do recado.",positive
Comprei em open box e não valeu a pena. Driver no meio da instalação dava tela preta e não voltava após horas. Se vc não quer dor de cabeça vá de NVIDIA.,positive
"Essa VGA é simplesmente uma monstra. Sai de uma 750 ti e a diferença de desempenho foi brutal. Realmente foi uma excelente aquisição, recomendo muito., Desempenho excelente Custo benefício Design muito bonito Muito silenciosa, nenhum",positive
Ótimo,positive
"Montei um setup de 2400 que roda praticamente tudo no full HD, ótima placa.",positive
"Placa perfeita pra mim.... tamanho dela é so pra refriamento, jogos nao passam de 60ºgraus e maioria fica em 49ºc, uma delicia de placa, jogo meus jogos pesados super tranquilo com meu ryzen 5 3600",neutral
Gostei os jogos ficaram bem melhores nessa placa .,positive
"Peguei no precinho na promoção, entrega muito !!!",positive
supre todas minhas necessidades não tenho nada a reclamar e sim a acrescentar ótima placa potente e roda tudo no full hd acima de 60 quadros e não esquenta,neutral
"Pode comprar sem medo, excelente produto. Placa muito fria.",positive
Ótimo,positive
"Excelente custo benefício, surpreende..., Custo benefício, por 1.200 rodando tudo no talo, excelente placa., É bem grande, tive que comprar outro gabinete kkk",neutral
Cumpre com o propósito dele,positive
"Ótima placa, N ter pontos negativos",positive
"recomendo, placa video boa tudo normal, nenhum",neutral
"Ótima placa da AMD., Bom desempenho, baixo consumo de energia, placa bastante fria, no geral um excelente produto., Preço um pouco elevado, mas pelo que entrega está até em conta.",neutral
Excelente placa.,positive
"Uso com Ryzen 5 5600g, e ficou top! Tudo no ultra!, Custo benefício!, Não é tão recomendada para o 4k.",neutral
"Ótima, Roda tudo que tenho com 50 e 60 fps, Atrasou bastante a entrega",positive
"Melhor custo benefício disparado, Placa bem fria, Full HD ultra de boa, boa construção, combinado com R5 4500, levando tudo de boa, Esse chip é maravilhoso pelo preço praticado, não tem defeitos.",neutral
"pode comprar que vale a pena, ótima qualidade, nenhum",neutral
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Ótimo custo-beneficio, talvez a melhor placa de entrada.",positive
"Roda muitos jogos no alto, e tudo em full hd",positive
"Placa excelente, ótimo custo benefício, roda todos os jogos tranquilo, Placa fria. Silenciosa , ótimo desempenho. muito satisfeito., Nenhum.",positive
"Bom, Bom, Nem um",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Muito boa , Todos , Sem pontos negativos",positive
super recomendo comprei e nao me arependo,positive
Chegou muito rápido (3 dias corridos) e em ótimo estado.,positive
"Mt bom roda tudo e lindo, Qualidade, Nenhum",positive
"Recebi a placa em poucos dias, apenas 4, até o momento estou gostando da placa, todos os jogos que eu testei rodaram acima de 160fps, Um ponto positivo que me assustou, não sei é defeito mas a placa não liga a ventoinha até passar dos 60 graus, No momento não encontrei ainda",neutral
"sem igual, melhor custo benefício do mercado., Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",neutral
cumpre oque promete um bom salto de evoluçao para mim que usava a 1060!,neutral
"Ótima placa super fria, Roda jogos tranquilamente no alto e ultra, Ainda não achei",neutral
"Placa até agora rodando tudo muito bem, Placa muito bonita e potente, Não identifiquei aínda",positive
"O preço cham atenção, porém o desempenho é muito abaixo das expectativas",neutral
"Melhor custo benefício do mercado, consigo jogar qualquer coisa no ultra acima de 60fps., Acho um excelente upgrade para quem está entrando agora no mundo dos Pc gamer, estou conseguindo rodar todos os jogos modernos., Não gostei muito do design, achei bem fraco.",neutral
"Muito bom, minha primeira placa de vídeo, ela é custo benefício, chegando a bater de frente com uma 3060 de 8gb eu acho, não é da nvidia, mas n sei se é um ponto negativo",neutral
"Achei uma boa placa custo benefício, mais do que eu preciso.",positive
"excelente placa de vídeo, a palca de vídeo têm excelente desempenho, fica melhor se tiver um processador forte., nenhum",neutral
"Produto chegou muito antes do previsto, bem embalado, sem nenhum sinal de avaria. Ainda não consegui testar mas me parece estar em ótimo estado!",positive
muito boa a placa de video,positive
"Produtim de qualidade, Coisa boa e barata que entrega um bom desempenho",positive
"Pelo preço pago esta me oferecendo um desempenho surpreendente, rodando todos os jogos no alto em 1920x1080, entrega super rápida.",neutral
"Desempenho incrível por preço menor que a concorrência!, Placa extremamente fria, mantém o fluxo bem no gabinete. FPS alto em games com 1080p, 1440p e 30~40fps para games 4k, Para gabinetes pequenos, é difícil alocar a placa pois tem tamanho quase de uma triple fan.",neutral
"A placa continua muito fria, silenciosa e ainda me surpreende quando abro jogos mais pesados e ela dá conta mantendo uma boa média de fps! Obrigado kabum, logo mais monto outro setup aqui (um pouquinho mais forte)",positive
"Excelente produto, presente para meu filho. Um grande salto para ele, pois agora tem uma placa dedicada. Chegou tudo como descrito. Bem embalado. Boas vendas e boas compras!",neutral
"recomendo, ela e muito fria e não consome muito, esperava um pouco mais.",positive
"Excelente, Qualidade, desempenho e custo benefício, Por enquanto nenhum",positive
"Placa muito boa, roda jogos em full hd, e rodei ate fifa 24 em 4k na minha tv",neutral
"Gostei na facilidade em atualizar os drivers. Jogo em QHD os jogos competitivos e ela não me deixa na mão. (Uso com o 5 4500). Além de ser muito fria., Custo Benefício Muito fria Roda muito bem qualquer jogo",neutral
"Maravilhosa, não passou do 60° de temp (em salvador, e meu quarto é quente)., Controle de temperatura Custo benefício maravilhoso, Podia ter uns leds",neutral
"simplesmente a placa mais custo beneficio de 2023, compete com placas como a RTX 3060 que no momento esta 60% mais caro. roda todos jogos em 1080p no alto acima de 60 fps placa tem ótimo resfriamento se atente ao tamanho da placa, no meu gabinete a placa coube no limite. no geral placa muito boa.",neutral
"Qualidade e desempenho excelente, Ela não esquenta muito, é silenciosa e tem um ótimo desempenho pelo custo",positive
"Muito bom para jogos full hd, Entrega antes do prazo, Por um pouco mais pega uma 3060 que é bem superior",neutral
"Melhor placa custo benefício, nada do que reclamar muito boa mesmo., Ela roda todos os jogos atuais em Full HD sem sentir, com muita facilidade., Até então nenhum",neutral
Recomendo à todos. Excelente custo benefício. Entrega ninja!,positive
"Placa muito boa, uma das melhores placa custo benefício do mercado, Roda mw3 acima de 100 FPS dependendo dos seus hardware, Nenhum",neutral
"Coil Whine horrível, porém a placa de vídeo é ok, a qualidade de construção é ok, o visual é horrível, e ela é bem fria, opera entre 50-60ºC jogando.",negative
"A RX 6600 me atendeu muito bem e até me surpreendeu pelo desempenho em alguns jogos. Ela até roda alguns jogos em Quad HD, mas o real propósito dela é ser uma placa de entrada pra quem foca principalmente no Full HD. Partindo disso, recomendo a compra.",neutral
"Ótimo custo benefício, e placa veio em perfeitas condições, Ótimo preço, chegou rápido e embalagem em perfeitas condições",positive
Estou rodando todos os jogos com uma qualidade altíssima. Super recomendo.,positive
"Atendeu as expectativas pra jogar em FHD, mas vai precisar de um processador que use 100% dessa VGA! Um ryzen 5 5600x ou ryzen 7 5700x, Excelente refrigeração, Nenhum",positive
"Recebi conforme o prazo colocado, produto bem embalado, um ótima placa e com um preço bem acessível, e o melhor é que ela é uma placa bem fria, e olha que moro no norte, uma região bastante quente que pode inteferir muito na temperatura do PC, mas a placa sempre se mantém ali numa temperatura sempre baixa.",negative
"Ótima placa! Entrega um excelente desempenho pelo preço, Bem construída. Baixo consumo pra uma placa com dois fans e pelo desempenho que entrega. Joga qualquer jogo em Fullhd com as configurações altas ou muito altas à cima dos 60 fps., Não é um ponto negativo em si, mas se ela fosse um pouco menor, seria perfeita!",neutral
"Cumpre o que promete em resolução e desempenho, Custo benefício, Nada a considerar",neutral
"desempenho otimo pelo custo referente as outras no mercado, Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Melhor custo/benefício da atualidade, está valendo a pena o investimento",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Satisfeito, Temperatura, Nada",positive
"Placa excelente, tenho um R5 5600G e mesmo com um processador com video integrado, a placa desempenha excelentemente bem. Roda todos os meus jogos (tenho uns pesadinhos) no ultra, sem travar.",neutral
", Placa fria",positive
"Placa com o melhor custo-beneficio. Rodando jogos no ultra e temperatura sempre baixa, chega a ficar com as ventoinhas desligadas no jogo. Vale muito a pena. Obs: peguei Open Box e veio perfeita.",neutral
"Muito bonita e potente, da para jogar varios jogos no alto/ultra sem problemas",neutral
"Placa top de linha! Excelente custo benefício, entrega super rápida. Super recomendo!",positive
"Muito boa ,recomendo.",positive
Boa placa de vídeo ótima custo benefício para 2023,neutral
"Muito bonita, Placa fria Ótimo desempenho, Somente 1 entrada HDMI",positive
"Desempenho bom, porem em minha maquina apresenta stutering em algumas situações e esta fazendo um Coil Whine muito alto, Custo beneficio, placa linda, construção maravilhosa,roda bem os jogos e é bem fria, Coil Whine,tirando isso placa excelente",neutral
Placa parruda!,positive
"Top, Todos, Nenhum",positive
"Estou usando a 1 semana e não tenho do que reclamar, jogos todos no ultra, meu processador é o i3 12100, placa muito fria, quem está pensando em pegar uma placa de entrada, recomendo muito! Entrega bem rápida, levou apenas 4 dias para entregar em Gravataí região metropolitana de POA.",positive
"Placa muito forte, Ótimo custo X benefício, Drivers porém vc aprendendo a otimizar fica perfeito",neutral
"placa de boa qualidade, está rodando bem os jogos e funcionando bem, chegou antes do tempo estimado",neutral
"Placa muito boa, Fria, silenciosa e com ótimo desempenho. Jogo o BF2042 em full hd com média de 140 fps dependendo do mapa, mas sempre acima dos 100 fps.",neutral
"Muito, chegou em dois dias e muito bem embalado",positive
"Bate no máximo 65c, o desempenho é surreal pro preço que está custando hoje em dia... não paguei nem 1200 por ela. É um pouco minimalista, sem pontos contra, se você quer uma placa custo benefício, não existe igual ou melhor que essa para uma placa de entrada... Ryzen 5 3600, Rx 6600 8gb e 16gb ram, rodando tudo.",neutral
"Sai de uma rx550 para essa maravilha de placa,rodou lisinho os jogos que eu estava querendo jogar como god of war e res4 remake",neutral
"O produto chegou bem embalado, super protegido. Só não sei 5 estrelas porque tive problemas com a transportadora que faz a entrega para a Kabum.",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
Jogando com tudo com padrão de fabrica pego 110~120 FPS no COD com gráticos no recomendado com um Ryzen 5 5600G,neutral
"Placa ótima, entregou muito mais do que eu imaginava, Custo benefício, Não vi.",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"Ótimo produto., Placa ótimo custo benefício e ótimo desempenho., Na compra do produto ganharia o jogo Starfield, entro em contato mas nada de resposta por parte da Kabum .",neutral
"Gostei muito, Custo benefício, Só os drivers",positive
"Placa linda, bem construída e grandona!",neutral
"Placa de vídeo muito forte, roda tudo. Não precisa de uma fonte de alimentação muito forte e talvez nem precise de apoio pra segurar ela, pois é bem leve.",positive
"otimo produto, chegou bem rapido",positive
"Ótimo desempenho, mas a AMD é e problemática demais com os driver dela, Ótimo desempenho., Problemas de driver em alguns jogos.",neutral
"A placa é muito bonita em seu design, eu recebi e instalei, funcionando perfeitamente. Essa placa de vídeo é um ótimo investimento custo benefício, para quem quiser jogar não apenas, mas para trabalhar também, em sistemas gráfico auto cadê e arquitetura etc.",neutral
"A placa parece ser a melhor opcao intermediaria do lado da AMD , estou saindo de uma RX590 q usei por quase 5 anos e indo para a RX 6600 , que pelo q pesquisei tem performance cerca de 30% superior. Entrega super rapida.",positive
Placa ótimo só preciso trocar meu processador pra ela trabalhar bem,positive
"Muito bom, Chegou rápido e bem embalado",positive
"Já em uso, placa fenomenal. Recomendo usar com uma boa placa mãe.",positive
"Melhor compra de 2023, Rodou todos os meus games em Full HD Estou com o processador Ryzen 5 4500 32 ram top demais, Não tenho",negative
"Ótimo.., Placa excelente, super fria, e entrega um ótimo desempenho.",positive
"Veio certinho, o custo-benefício dele em comparação a uma 3060 é bem melhor. Visto que paguei com cupom, recomendo, sem lag, sem problemas, só felicidade., Vou jogar no talo, Vou pagar parcelado",positive
"Produto excelente, Melhor custo benefício e roda tudo",positive
"Ótimo investimento, uma placa de vídeo que vai entregar um desempenho excelente em todos os jogos da atualidade., Uma placa de vídeo que tem um desempenho comparável a uma RTX 3060, porém, que consome menos energia, faz menos barulho e custa menos. Vale muito a pena.",neutral
"Chegou sem defeitos, é esteticamente bonita e tem um ótimo desempenho, -Preço -Desempenho -Tecnologia -Temperatura -Consumo, -Tamanho",negative
"Muito bom senti até q meu monitor ficou mais lindo, Todos, .",positive
"Ótimo custo benefício, Não esquenta muito, Eu não sei como configurar ainda",positive
Sem dúvidas o melhor custo benefício em placas de vídeo.,positive
Recomendo demais,positive
"Placa de vídeo excelente custo benefício, se equipara a uma RTX 3060, tem programa pra OC fácil de usar além de conseguir traçar perfil pra cada jogo e ver aonde melhorar para uma performance de respeito.",neutral
"Bom desempenho. Temperatura chega a 75° em jogos, porém meu gabinete não tem refrigeração ainda. Observem que precisa de conector de 8 pinos.",positive
"Placa extremamente eficiente, fria e com baixo consumo de energia. Melhor custo-benefício atualmente.",neutral
"placa extremamente fria, entrega o que promete e por um otimo preço , Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",neutral
"Cara essa placa é bem potente para quem for fazer upgrade preste atenção, não me arrependo uma ótima aquisição.",positive
Consigo jogar todos os meus jogos no gráfico alto e gpu nem esquenta muito fica sempre abaixo dos 60° graus.,negative
"Muito boa, Custo benefício Otima refrigeração , Pouco tempo pra dar mas até agora nenhum",positive
"Placa chegou em perfeitas condições, já efetuei testes e está funcionando normalmente, agora jogando Lies of P com gráficos no máximo",negative
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"produto excelente , desempenho otimo , Quais são os pontos negativos deste produto?",positive
"Até o momento estou amando! Chegou antes do prazo e a placa funciona perfeitamente, todos os jogos que quis jogar estão rodando muito bem! Os gráficos melhoraram muito! E o serviço da Kabum foi magnifico.",neutral
", Entrega o que promete, só alegria durante os games., Tenho que me acostumar com o software da amd, usei a vida toda NVIDEA.",neutral
mt bom,positive
"Comprei essa placa para combinar com meu ryzen 7 e não me arrependo nenhum pouco. Estou conseguindo rodar todos os jogos no ultra., Não esquenta muito, e olha que eu moro no nordeste., Nenhum!",neutral
"Muito boa, desempenho muito bom por um preço muito bom",positive
", Top rodando tudo no ultra silenciosa e fria, Nenhum",positive
", Quais são os pontos positivos deste produto?, Quais são os pontos negativos deste produto?",negative
"placa fria e cumpre o que promete, Full hd com 60fps ou mais, placa fria não bate 65°, a garantia podia ser de 2 anos de fabrica",negative
"produto bom, roda qualquer jogo, nenhum",neutral
Produto excelente e envio top,positive
Apesar da minha placa b450 ser pci 3 estou conseguindo 60 fps + em todos os jogos que testei ate agora. Ate o momento nada a reclamar. So estou aguardando a kabum e a AMD me enviar a minha copia do starfield. Ai sim vai ser top,positive
"A placa tem ótimo desempenho, muito boa mesmo, valeu cada centavo",positive
"Melhor custo beneficio de 2023 , não tem outra igual, todas placas equivalentes saem por quase 2k",negative
"Um produto excelente com um ótimo custo beneficio, a placa é fria e potente rodando todos os jogos atuais com tranquilidade em full hd.",neutral
excelente,positive
"roda tudo , to fazendo ive de apex com ela a 144 fps, mto boa a placa",neutral
"A placa é ótima pra quem quer ter bons gráficos e desempenho sem gastar muito. Estou rodando tudo a 60 fps em alto/ultra. A entrega foi super rápida, bem antes do prazo.",neutral
Uma placa muito boa e com um rendimento muito bom em 1080 e uma ótima escolha até mesmo pra 2K. estou satisfeito por ter escolhido a RX6600,neutral
"Excelente aquisição, placa muito boa!",positive
"Muito bom, roda todos os jogos que quero no Full HD médio/alto. Melhor custo benefício de placa de vídeo atualmente, recomendo muito., Bem fria e custo benefício, Nenhum até o momento.",neutral
"Placa muito boa, aumenta muito os meus fps.",positive
"achei um produto melhor que já tive, meu sonho de consumo., da pra jogar altos games em Full qualidade mas dependendo do seu processador tbm., nenhum",neutral
"muito boa, roda praticamente tudo no ultra, temperatura pra mim não passou de 60 graus no warzone com as fans em 38% de velocidade, realmente é bem fria e fora chegou em 5 dias pra mim, muito fria, ótimo custo benefício pra Full HD e no alto/ultra pelo preço de 1330 que eu paguei, nenhuma",neutral
Superou a expectativa.,positive
ótimo desempenho e bem fria mesmo quando muito exigida e no calor do pará,positive
"Essa placa é a melhor em custo beneficio chegando a se igualar com a 3060, pelo preço que paguei valeu muito a pena pode ir sem medo. Sobre o envio veio tudo certo com nenhuma avaria.",positive
"sai de uma rx570 pra rx6600, o desempenho é absurdo, au amei a placa, placa bem fria roda todos os jogos no alto/ultra sem dúvidas a melhor compra que já fiz, nenhum até agora",neutral
"Placa supera diversas outras em questão de preço e performance, se eu fosse você, iria nela sem dúvidas na hora de montar um setup",neutral
"Essa placa de vídeo é excelente, o poder que essa placa tem pelo preço dela ,vale muitíssimo a pena, além de ela vim super bem embalada eu amei a placa!!!",neutral
placa muito boa recomendo feia e bom desempenho,positive
"Entrega NINJA, entregue no prazo....Recomendo o produto, ótima marca....",positive
"Excelente placa custo beneficio, quem esta com medo de drivers da AMD pode ficar tranquilo, roda suave sem travar, bonita e fabricação muito robusta, ela é fria e silenciosa, equiparada a linha 3060 com certeza e o custo muito menor.",neutral
"Excelente, ótimo custo-benefício, desempenho igual ou superior a uma RTX 3060 e por um preço mais acessível., Pontos positivos: Custo-benefício, consome pouca energia, silenciosa, excelente desempenho, designe bonito e boa estrutura., Pontos negativos: Até o momento nenhum ponto negativo encontrado.",positive
"boa placa mid, c x b fria",negative
"ótimo, consigo jogar tudo em HD e até agora rodou tudo, roda tudo, sempre tente deixar os drivers atualizado pra não gargalar",neutral
Ela tem desempenho próximo a uma rtx 3060. muito boa a placa.,positive
"Excelente custo-benefício, Preço Desempenho excelente pareado a um R3 3300x, usando monitor 1080p, Nenhum, até agora.",positive
"mto bom pra 1080p, roda tudo no ultra/alto em 1080, n consome mta energia, n esquenta mto e é bem silenciosa, sem pontos negativos na minha opiniao",positive
"entrega uma ótima performance pelo preço,ótimo custo benefício",positive
"Produto Excelente, testei jogos novos, mesmo o processador sendo o suficente para essa placa de video, rodaram extremamentes bens",neutral
"Placa de vídeo muito boa, bem fria (chegou a 60ºC sob estresse no FurMark)., Custo-benefício muito bom, bem fria., Nenhum.",negative
"muito boa GPU j, não sou experto pra falar sobre mais até aqui produto de excelência ao que ela se propõe., neum até aqui FAUSTO NOBRE",neutral
"Muito boa placa de vídeo, Entrega o que promete e trabalha bem fria, mesmo em jogos pesados dificilmente passa de 55º. Muito silenciosa quando eventualmente liga as ventoinhas. Ótimo custo benefício., Não tem.",neutral
"Bom, Bom custo, Nenhum",positive
"Rodou todos os jogos AAA da atualidade em 1080p ultra, sempre acima de 60 fps, Preço, qualidade e desempenho",neutral
Otima placa custo beneficio,positive
atendeu muito bem as minhas necessidades,positive
"excelente, não tem",negative
"Chegou antes do prazo, Placa robusta com ótimo desempenho dentro dos 1080, Não tem.",neutral
"Cumpre tudo que é informado e até melhor do wue pensava, Extremamente fria, Desempemho excelente em 1080p sem raytracing",neutral
"fria, bom desempenho, perfeita, fria, bom desempenho",positive
"Funciona perfeitamente. Não apresentou problemas., Barata e com alto desempenho, O DLSS continua superior a FSR.",neutral
